2020-08-10 09:51:51.832 | INFO     | hagworm.extend.asyncio.base:__init__:72 - 
 __  __   ______   ______   __     __   ______   ______   __    __
/\ \_\ \ /\  __ \ /\  ___\ /\ \  _ \ \ /\  __ \ /\  == \ /\ "-./  \
\ \  __ \\ \  __ \\ \ \__ \\ \ \/ ".\ \\ \ \/\ \\ \  __< \ \ \-./\ \
 \ \_\ \_\\ \_\ \_\\ \_____\\ \__/".~\_\\ \_____\\ \_\ \_\\ \_\ \ \_\
  \/_/\/_/ \/_/\/_/ \/_____/ \/_/   \/_/ \/_____/ \/_/ /_/ \/_/  \/_/
hagworm 3.10.1
python 3.7.8 (v3.7.8:4b47a5b6ba, Jun 27 2020, 04:47:50) 
[Clang 6.0 (clang-600.0.57)]
system Darwin 19.5.0 Darwin Kernel Version 19.5.0: Tue May 26 20:41:44 PDT 2020; root:xnu-6153.121.2~2/RELEASE_X86_64 x86_64
2020-08-10 09:52:25.526 | ERROR    | __main__:parse:59 - The response of server is fail, Exception is 502, message='Bad Gateway', url=URL('http://dev.jiayouxueba.cn/api/member/external/teacher/signin')
2020-08-10 09:52:25.528 | ERROR    | __main__:parse:59 - The response of server is fail, Exception is 502, message='Bad Gateway', url=URL('http://dev.jiayouxueba.cn/api/member/external/teacher/signin')
2020-08-10 09:52:25.530 | ERROR    | __main__:parse:59 - The response of server is fail, Exception is 502, message='Bad Gateway', url=URL('http://dev.jiayouxueba.cn/api/member/external/teacher/signin')
2020-08-10 09:52:25.532 | ERROR    | __main__:parse:59 - The response of server is fail, Exception is 502, message='Bad Gateway', url=URL('http://dev.jiayouxueba.cn/api/member/external/teacher/signin')
2020-08-10 09:52:25.534 | ERROR    | __main__:parse:59 - The response of server is fail, Exception is 502, message='Bad Gateway', url=URL('http://dev.jiayouxueba.cn/api/member/external/teacher/signin')
2020-08-10 09:52:25.536 | ERROR    | __main__:parse:59 - The response of server is fail, Exception is 502, message='Bad Gateway', url=URL('http://dev.jiayouxueba.cn/api/member/external/teacher/signin')
2020-08-10 09:52:25.538 | ERROR    | __main__:parse:59 - The response of server is fail, Exception is 502, message='Bad Gateway', url=URL('http://dev.jiayouxueba.cn/api/member/external/teacher/signin')
2020-08-10 09:52:25.540 | ERROR    | __main__:parse:59 - The response of server is fail, Exception is 502, message='Bad Gateway', url=URL('http://dev.jiayouxueba.cn/api/member/external/teacher/signin')
2020-08-10 09:52:25.543 | ERROR    | __main__:parse:59 - The response of server is fail, Exception is 502, message='Bad Gateway', url=URL('http://dev.jiayouxueba.cn/api/member/external/teacher/signin')
2020-08-10 09:52:25.545 | ERROR    | __main__:parse:59 - The response of server is fail, Exception is 502, message='Bad Gateway', url=URL('http://dev.jiayouxueba.cn/api/member/external/teacher/signin')
2020-08-10 09:52:25.547 | ERROR    | __main__:parse:59 - The response of server is fail, Exception is 502, message='Bad Gateway', url=URL('http://dev.jiayouxueba.cn/api/member/external/teacher/signin')
2020-08-10 09:52:25.549 | ERROR    | __main__:parse:59 - The response of server is fail, Exception is 502, message='Bad Gateway', url=URL('http://dev.jiayouxueba.cn/api/member/external/teacher/signin')
2020-08-10 09:52:25.551 | ERROR    | __main__:parse:59 - The response of server is fail, Exception is 502, message='Bad Gateway', url=URL('http://dev.jiayouxueba.cn/api/member/external/teacher/signin')
2020-08-10 09:52:25.553 | ERROR    | __main__:parse:59 - The response of server is fail, Exception is 502, message='Bad Gateway', url=URL('http://dev.jiayouxueba.cn/api/member/external/teacher/signin')
2020-08-10 09:52:25.555 | ERROR    | __main__:parse:59 - The response of server is fail, Exception is 502, message='Bad Gateway', url=URL('http://dev.jiayouxueba.cn/api/member/external/teacher/signin')
